p_1
0.45,0.367,0.074,-0.836,0.028,-0.431,-0.42,-0.795,0.348,-0.684
-0.82,-0.926,0.15,0.352,-0.24,0.867,0.747,-0.13,0.121,0.706
0.105,0.463,0.587,-0.437,-0.002,-0.49,0.523,0.397,-0.86,0.909
-0.268,-0.515,-0.786,-0.122,-0.102,-0.448,0.54,-0.305,-0.674,-0.622
-0.1,-0.067,0.306,0.353,0.159,0.97,-0.897,-0.987,0.744,0.049
-0.074,-0.658,-0.255,0.653,0.626,0.285,0.085,-0.05,-0.488,-0.866
-0.567,-0.73,-0.356,-0.463,-0.263,0.853,-0.516,-0.647,0.412,0.193
-0.85,-0.871,0.69,-0.367,-0.015,-0.804,0.235,0.191,0.354,0.042
0.059,-0.427,0.313,0.162,0.45,-0.338,-0.409,-0.223,0.5,-0.04
0.006,-0.054,0.711,0.24,-0.613,0.732,-0.963,0.996,0.264,-0.414
p_2
0.724,0.598,-0.495,0.358,-0.957,-0.94,-0.542,0.926,0.865,0.712
-0.831,0.723,0.921,0.15,-0.33,0.61,-0.987,-0.508,0.97,-0.712
0.748,0.725,-0.813,0.363,0.761,-0.187,-0.138,-0.565,0.295,-0.229
-0.847,0.362,0.318,-0.458,-0.784,0.109,-0.999,0.6,-0.779,-0.771
-0.309,-0.902,-0.003,-0.879,-0.359,0.766,0.873,-0.717,-0.846,-0.278
-0.552,0.366,0.213,-0.24,0.551,-0.044,0.133,-0.879,-0.245,0.063
0.56,-0.576,0.503,0.276,-0.245,-0.023,-0.612,0.355,-0.339,0.323
-0.887,0.887,-0.445,0.068,-0.759,-0.499,-0.386,0.605,0.792,-0.457
0.631,-0.294,0.95,-0.714,0.139,-0.648,0.727,-0.075,0.933,-0.76
0.863,0.724,-0.84,0.639,-0.469,-0.073,-0.344,0.46,-0.278,0.09
p_3
-0.566,-0.417,-0.946,-0.062,-0.038,0.65,0.074,-0.975,0.409,-0.388
0.905,0.517,0.189,-0.462,0.444,0.894,-0.984,0.861,0.224,0.417
-0.414,0.236,-0.418,0.056,-0.671,-0.818,-0.819,0.505,0.873,-0.367
-0.088,0.963,-0.371,0.852,-0.442,0.676,-0.178,-0.75,0.729,-0.778
0.786,-0.147,0.934,-0.733,0.447,0.182,-0.576,-0.183,0.376,0.984
0.424,0.518,-0.958,0.333,-0.213,0.211,-0.815,0.529,0.109,-0.394
0.938,0.743,-0.348,-0.733,0.891,-0.741,-0.902,-0.453,0.801,-0.548
-0.853,-0.598,0.64,-0.536,-0.648,-0.01,0.359,-0.548,-0.223,-0.36
-0.072,0.673,-0.291,0.441,0.997,-0.177,-0.566,-0.174,-0.035,-0.362
-0.436,-0.429,0.633,0.493,-0.246,0.467,-0.481,0.756,-0.309,0.065
p_4
0.334,0.711,-0.804,0.388,-0.736,-0.313,0.024,0.865,-0.605,-0.157
0.776,-0.099,-0.384,-0.661,0.772,0.709,0.865,-0.517,-0.153,-0.177
-0.956,-0.519,-0.884,0.825,0.072,0.455,0.743,-0.374,-0.77,0.164
0.68,0.044,-0.777,-0.299,0.31,0.547,0.009,0.334,0.589,-0.285
0.659,0.161,0.357,0.353,-0.006,-0.464,0.454,0.336,-0.468,-0.044
-0.298,0.026,-0.187,-0.275,0.368,0.682,-0.826,0.667,0.581,-0.246
0.691,-0.443,-0.391,-0.531,-0.886,-0.22,0.059,0.234,0.664,-0.842
-0.123,-0.96,0.22,-0.147,-0.098,-0.061,0.256,0.28,-0.906,0.169
0.813,-0.845,-0.238,-0.909,0.685,-0.639,0.292,-0.2,0.786,-0.743
0.43,0.098,-0.113,-0.427,-0.92,0.679,0.358,0.796,-0.508,-0.76
p_5
0.038,-0.713,0.614,0.994,0.826,-0.647,-0.12,0.177,-0.033,0.846
0.429,-0.322,0.584,-0.182,0.911,-0.176,0.915,0.93,-0.616,-0.064
-0.777,0.261,-0.633,0.871,0.823,0.515,-0.616,-0.698,-0.227,-0.894
0.92,0.76,0.731,-0.509,-0.698,-0.923,-0.283,0.603,-0.932,-0.002
-0.278,-0.735,-0.235,0.357,-0.749,0.55,-0.64,-0.22,-0.53,-0.357
-0.323,-0.571,-0.305,-0.765,-0.171,0.462,-0.611,-0.879,0.83,-0.192
0.816,-0.469,-0.594,-0.489,-0.898,-0.02,-0.236,-0.446,-0.514,-0.383
0.93,0.638,-0.578,0.201,0.517,-0.482,0.265,-0.149,0.919,0.734
0.828,0.206,0.888,-0.485,-0.201,-0.429,-0.015,0.305,0.497,0.521
0.354,-0.494,-0.35,-0.998,0.404,0.222,-0.807,0.389,-0.067,-0.756
p_6
-0.807,0.266,0.938,0.979,-0.81,0.893,0.114,0.983,-0.988,-0.956
-0.402,0.815,0.68,-0.174,-0.426,-0.786,0.313,-0.482,0.506,-0.891
0.225,0.199,0.787,0.018,0.859,0.923,-0.077,-0.595,-0.757,-0.871
-0.235,-0.63,-0.746,0.887,0.925,0.325,0.723,0.475,0.232,0.127
-0.803,0.215,0.489,-0.769,-0.077,-0.279,-0.151,-0.861,0.794,-0.537
0.065,0.319,-0.73,0.733,0.513,0.901,0.849,-0.78,-0.419,0.214
0.799,-0.037,-0.14,-0.595,-0.813,0.004,-0.232,-0.15,0.834,0.628
0.271,0.777,0.849,0.442,0.473,-0.291,0.282,0.149,-0.571,0.149
0.228,-0.78,0.649,-0.741,-0.826,-0.819,-0.104,0.096,0.095,-0.06
0.958,0.589,-0.462,0.423,0.954,0.893,0.975,-0.77,-0.134,0.672
p_7
0.061,0.534,0.501,0.287,-0.31,-0.769,0.128,0.157,-0.939,-0.701
0.712,0.82,0.699,0.367,-0.378,-0.388,-0.392,0.265,-0.381,-0.561
-0.015,-0.256,-0.598,-0.989,0.978,-0.031,-0.385,-0.533,-0.887,-0.215
-0.097,-0.341,-0.415,-0.845,-0.71,-0.827,-0.743,0.008,0.642,-0.21
-0.68,0.369,0.212,-0.501,0.52,0.721,0.715,-0.048,0.718,-0.654
-0.47,-0.08,0.945,-0.008,-0.156,-0.598,-0.953,0.652,-0.711,-0.726
0.367,-0.294,0.335,-0.961,-0.235,-0.009,-0.654,0.584,-0.62,-0.669
0.918,0.583,0.349,0.736,0.109,0.846,0.864,0.088,-0.968,0.834
0.285,0.162,0.337,-0.388,-0.818,-0.665,-0.335,0.007,-0.425,-0.673
-0.41,0.433,0.749,0.284,-0.411,-0.689,0.859,-0.866,0.546,0.889
p_8
-0.298,-0.67,0.4,-0.441,0.021,-0.103,0.234,0.516,-0.552,0.362
0.104,0.253,0.48,0.842,0.067,-0.264,-0.729,-0.254,-0.536,-0.598
-0.807,-0.595,0.949,0.967,0.511,-0.682,-0.915,0.534,-0.747,0.756
-0.737,-0.291,-0.288,-0.551,-0.02,0.962,0.411,-0.368,-0.321,0.373
0.926,-0.49,-0.138,-0.623,-0.294,0.381,0.64,0.909,0.101,0.68
0.637,0.549,-0.193,0.437,-0.594,-0.918,0.037,0.868,0.074,-0.833
-0.126,0.795,0.027,0.095,-0.811,-0.834,-0.733,0.767,-0.136,-0.533
-0.782,-0.05,-0.96,-0.975,-0.032,-0.416,0.707,0.853,-0.536,0.483
0.946,-0.2,0.181,0.436,-0.121,0.493,0.081,0.2,-0.776,-0.269
-0.88,-0.75,-0.078,-0.786,0.153,-0.753,0.138,-0.319,-0.564,0.186
