p_1
-0.685,0.099,-0.171,-0.049,-0.622
-0.816,-0.249,0.303,0.192,0.783
0.214,0.317,0.711,0.724,0.368
-0.276,-0.399,0.221,0.877,-0.899
-0.324,0.162,-0.139,-0.955,0.073
p_2
-0.607,-0.609,-0.289,-0.413,-0.925
-0.843,-0.465,-0.629,0.416,-0.543
0.235,-0.071,-0.78,-0.231,-0.398
0.93,0.588,-0.934,-0.291,-0.206
0.361,0.681,-0.717,0.383,0.29
p_3
-0.638,0.085,-0.47,-0.12,0.16
-0.641,-0.789,-0.732,-0.155,-0.561
0.94,0.689,-0.251,-0.524,-0.121
-0.661,0.464,0.252,-0.31,-0.307
0.146,-0.818,0.003,-0.501,0.012
p_4
0.949,0.098,0.141,-0.894,-0.768
0.136,0.116,-0.242,0.698,0.234
0.456,0.149,-0.702,-0.728,-0.819
-0.62,-0.491,-0.579,-0.598,0.597
-0.056,0.675,-0.854,0.201,0.072
p_5
0.229,0.732,0.299,-0.645,-0.503
0.85,0.28,0.76,-0.675,0.103
-0.37,0.972,0.337,0.404,-0.935
-0.692,0.094,-0.035,-0.602,-0.695
0.643,-0.798,0.975,-0.977,0.482
