p_1
0.704,0.614,0.037,0.163,-0.223,0.219,-0.266,-0.46,-0.445,-0.659
0.535,0.336,0.596,-0.234,0.637,-0.395,-0.906,0.651,-0.115,-0.49
-0.36,0.908,0.078,-0.764,0.545,-0.53,-0.546,-0.859,-0.498,0.462
0.315,-0.918,-0.77,0.659,0.921,-0.278,0.041,-0.879,-0.004,0.316
0.82,-0.888,0.33,0.256,0.889,0.65,0.975,-0.898,0.804,0.684
-0.07,0.63,0.349,0.544,0.132,0.687,0.476,-0.421,0.56,0.84
0.104,-0.38,0.038,0.292,0.11,0.125,-0.414,0.932,-0.244,-0.548
-0.828,0.872,0.762,-0.066,0.506,0.257,-0.047,0.783,-0.453,0.363
-0.416,0.002,-0.32,-0.061,-0.09,-0.005,0.71,0.153,-0.111,0.703
0.382,0.219,-0.169,-0.699,-0.32,0.695,-0.145,-0.576,-0.326,-0.032
p_2
-0.926,0.35,0.624,-0.752,0.221,-0.411,0.08,-0.172,0.384,-0.519
-0.757,0.344,-0.443,0.168,0.762,-0.577,-0.601,0.583,0.621,-0.395
0.36,-0.077,-0.84,-0.416,0.335,-0.12,0.662,-0.076,0.599,-0.858
0.518,-0.678,0.261,-0.415,-0.584,0.113,-0.181,-0.363,0.541,0.938
0.107,0.476,-0.726,0.921,0.787,0.086,0.454,-0.708,-0.251,-0.136
0.352,0.465,-0.484,0.261,0.231,-0.872,0.374,-0.974,0.393,-0.013
-0.49,0.9,-0.063,-0.666,0.282,0.097,-0.935,0.217,0.689,0.288
-0.141,-0.47,0.806,-0.26,-0.25,-0.56,-0.474,0.255,0.946,-0.315
0.082,-0.946,0.771,-0.25,0.421,0.131,0.657,0.353,-0.111,-0.103
-0.399,0.083,-0.019,0.313,-0.586,0.994,-0.177,0.056,0.871,0.526
p_3
0.505,0.316,-0.975,-0.044,-0.286,0.715,-0.383,0.18,-0.87,0.461
0.332,0.142,0.988,-0.549,0.9,-0.223,-0.639,-0.952,-0.318,0.581
0.807,0.76,-0.591,0.085,0.282,0.07,-0.925,0.1,0.451,-0.281
-0.974,0.627,-0.93,0.753,0.666,0.845,0.202,-0.719,-0.547,0.359
0.565,-0.976,-0.671,-0.085,-0.31,0.298,0.903,-0.824,0.465,-0.812
0.702,0.004,-0.45,-0.525,0.259,-0.818,0.575,0.857,0.44,0.774
0.629,0.013,0.511,0.162,0.515,0.354,0.019,-0.382,-0.494,-0.338
-0.186,-0.401,-0.254,-0.363,0.174,0.589,0.326,0.353,-0.915,-0.345
-0.614,0.497,0.592,-0.927,-0.003,0.316,-0.243,0.529,0.148,0.637
0.132,0.253,-0.637,0.929,-0.832,-0.857,-0.809,0.263,-0.51,0.216
p_4
-0.363,0.774,0.662,0.778,-0.205,0.444,-0.626,0.004,0.162,0.553
0.427,0.3,0.338,-0.227,-0.989,0.163,0.915,0.778,-0.414,-0.392
0.723,-0.093,-0.962,-0.718,0.78,-0.613,0.654,-0.658,0.132,-0.815
0.514,0.758,-0.757,-0.014,-0.289,0.929,0.057,-0.512,0.712,0.872
0.271,0.288,-0.558,-0.288,-0.304,-0.074,-0.509,0.276,0.946,0.021
-0.218,0.285,-0.078,0.248,0.974,-0.392,0.395,0.913,-0.912,0.786
-0.542,0.386,0.188,-0.704,-0.466,0.94,-0.345,-0.602,0.479,0.0
-0.784,-0.226,-0.197,-0.588,0.717,0.186,-0.298,-0.928,-0.089,0.265
-0.215,0.71,-0.308,-0.72,-0.985,-0.04,-0.409,-0.627,0.763,0.168
0.223,-0.008,0.181,0.148,-0.449,-0.631,0.507,0.336,-0.134,0.198
p_5
-0.918,-0.515,-0.536,0.239,0.971,0.82,-0.914,-0.37,0.552,0.945
-0.241,-0.636,0.864,-0.753,-0.942,-0.689,0.368,0.794,0.101,0.627
-0.585,-0.758,-0.375,0.783,-0.903,-0.544,0.789,-0.355,0.021,0.738
0.356,0.157,0.24,0.206,0.344,-0.746,0.808,0.211,0.324,0.059
-0.4,-0.738,-0.083,0.15,0.195,0.872,-0.686,0.573,0.752,0.707
-0.53,0.679,0.754,-0.771,0.293,-0.386,-0.697,-0.313,0.021,-0.61
0.612,-0.788,0.181,-0.441,0.273,0.519,-0.306,-0.263,0.728,-0.477
-0.741,0.115,0.077,-0.307,-0.046,-0.564,0.867,0.319,0.458,0.216
-0.664,-0.993,-0.465,-0.304,0.303,0.523,-0.768,-0.222,-0.849,-0.737
0.634,-0.199,-0.4,0.655,0.439,0.857,0.926,0.16,-0.13,-0.893
p_6
-0.389,-0.793,-0.656,-0.82,0.106,-0.147,0.045,-0.062,0.225,0.848
0.887,0.451,-0.22,-0.707,0.353,0.783,-0.81,-0.12,-0.852,0.989
-0.419,0.763,-0.645,-0.088,0.942,0.508,-0.16,-0.777,-0.522,0.468
0.837,-0.794,-0.647,-0.507,0.474,0.295,0.905,-0.82,0.785,-0.55
-0.188,0.423,-0.793,-0.524,-0.139,0.721,-0.559,-0.372,-0.566,0.13
-0.829,0.827,0.966,-0.27,0.621,-0.65,0.932,0.115,-0.199,-0.246
-0.008,-0.698,-0.758,0.451,0.187,-0.464,0.053,0.729,0.738,0.264
-0.265,-0.976,0.115,0.786,0.392,-0.57,-0.704,0.323,-0.432,0.608
-0.585,-0.692,0.879,-0.208,0.013,-0.052,-0.108,-0.631,0.8,0.339
0.374,0.786,0.311,-0.822,0.211,-0.287,-0.015,0.474,-0.998,0.312
p_7
0.811,0.803,-0.596,0.217,0.32,0.933,0.328,0.352,-0.054,0.517
-0.74,-0.257,-0.738,0.021,0.3,0.587,-0.071,-0.544,-0.998,0.683
-0.252,0.192,0.74,-0.564,0.685,-0.813,0.364,0.637,0.475,0.855
