p_1
-0.194,0.18,-0.745,0.61,0.676,-0.409,0.328,-0.629,0.725,-0.445,-0.909,0.61,0.484,0.817,0.423
0.267,0.546,-0.528,-0.723,-0.607,-0.485,0.849,0.373,0.068,-0.971,0.203,0.692,-0.905,0.34,0.114
0.957,-0.834,0.791,-0.64,0.03,-0.829,-0.041,-0.878,0.452,0.274,-0.724,0.013,-0.26,0.343,0.3
-0.877,-0.713,0.688,0.431,0.636,-0.846,-0.787,-0.032,-0.072,0.432,-0.088,-0.934,-0.376,-0.395,-0.784
-0.087,0.352,0.637,-0.337,-0.097,-0.282,0.976,0.474,-0.268,-0.765,0.404,0.001,-0.579,0.896,-0.887
0.516,0.224,0.046,-0.536,0.412,-0.988,-0.829,-0.542,0.029,-0.069,-0.299,0.713,-0.492,-0.587,0.865
0.54,-0.92,0.627,-0.47,-0.99,-0.243,-0.656,0.411,-0.406,0.038,-0.575,0.631,-0.962,-0.939,-0.105
0.333,0.645,-0.546,0.203,-0.667,-0.88,0.395,-0.119,-0.4,0.208,0.271,0.884,-0.209,-0.832,-0.028
0.181,0.34,0.845,-0.912,0.489,0.88,-0.333,0.903,-0.633,0.477,-0.117,-0.411,-0.043,-0.375,-0.496
0.187,0.574,0.159,-0.453,0.345,-0.582,-0.666,-0.081,0.662,-0.447,-0.291,-0.154,0.011,0.889,0.6
-0.609,0.875,0.772,-0.187,-0.23,-0.207,0.97,0.009,-0.453,-0.637,0.846,-0.317,-0.786,0.048,-0.404
0.023,0.834,-0.883,0.386,0.526,0.379,-0.811,-0.748,-0.664,0.358,0.043,-0.362,-0.392,-0.93,-0.125
-0.955,-0.199,0.374,-0.372,-0.6,0.61,0.663,0.677,0.88,0.666,0.03,-0.696,-0.716,-0.46,-0.408
-0.674,-0.363,-0.931,-0.911,-0.545,0.03,-0.005,0.465,-0.469,0.583,0.258,0.793,0.029,-0.806,-0.232
-0.248,-0.458,-0.33,-0.151,0.812,0.881,0.684,0.441,0.742,0.038,0.644,0.603,0.494,-0.219,-0.287
p_2
0.201,-0.941,-0.395,-0.923,0.441,-0.685,-0.81,0.602,0.739,-0.084,-0.212,0.603,0.306,-0.677,-0.761
0.551,0.0,0.48,0.006,-0.537,0.224,-0.577,0.98,-0.516,0.766,-0.037,-0.149,-0.563,0.854,-0.609
-0.441,0.965,0.204,-0.848,-0.098,-0.856,0.091,-0.783,0.551,-0.661,-0.017,-0.742,0.223,-0.384,0.171
0.41,-0.971,0.602,0.845,-0.455,0.813,0.475,-0.929,0.371,0.496,-0.28,-0.054,-0.184,0.107,-0.181
0.95,-0.799,0.889,-0.132,-0.994,0.549,0.946,-0.186,-0.489,0.909,-0.157,-0.081,-0.23,0.919,0.88
0.394,-0.594,0.958,0.33,-0.77,0.818,0.712,0.548,-0.043,0.633,0.806,0.924,-0.97,-0.601,0.638
-0.68,0.399,0.162,0.16,0.234,0.265,0.868,0.256,-0.162,0.876,0.048,-0.358,0.539,0.798,-0.535
0.688,-0.057,0.257,-0.411,-0.582,-0.013,-0.671,-0.022,0.701,-0.067,0.175,-0.417,0.516,-0.655,-0.916
-0.942,-0.482,0.815,0.911,-0.591,0.196,-0.884,-0.874,0.08,0.24,0.294,-0.388,-0.415,-0.383,-0.146
0.177,0.799,-0.53,-0.075,0.869,-0.944,-0.181,-0.288,0.321,-0.636,0.947,-0.971,-0.613,0.493,-0.708
-0.768,-0.616,0.229,0.763,-0.908,-0.068,0.743,0.717,0.59,0.738,0.196,0.701,0.494,0.395,0.048
0.507,0.331,0.06,0.379,0.819,0.217,0.627,-0.343,-0.818,0.953,-0.798,0.44,0.461,0.66,-0.636
-0.289,-0.415,0.653,-0.491,0.134,0.676,-0.848,-0.255,-0.2,-0.553,-0.023,-0.193,0.417,-0.246,0.01
-0.597,-0.861,0.894,0.435,-0.611,0.371,0.506,-0.43,0.559,-0.823,-0.093,0.09,-0.045,0.392,-0.655
0.872,-0.098,0.122,0.385,0.381,0.048,0.724,0.633,-0.776,0.545,-0.258,0.351,0.564,-0.097,-0.848
p_3
0.188,0.133,0.864,-0.931,0.553,0.367,0.666,0.045,0.996,0.78,-0.93,-0.744,-0.631,-0.438,-0.237
-0.652,-0.094,-0.92,0.489,-0.282,-0.224,-0.508,0.731,0.107,-0.469,0.769,-0.938,0.377,0.969,-0.36
0.897,-0.253,0.752,0.586,-0.609,0.31,0.647,-0.997,-0.623,-0.122,0.192,0.807,-0.114,0.651,-0.419
-0.905,-0.218,0.423,-0.277,-0.802,0.353,0.884,-0.99,0.41,-0.714,-0.879,-0.852,0.926,-0.96,-0.814
0.668,0.621,0.952,0.196,0.793,0.761,0.746,-0.604,-0.691,-0.274,0.237,0.435,-0.543,0.16,0.254
0.465,0.58,0.97,0.689,-0.181,-0.202,0.444,-0.233,-0.993,0.181,-0.244,0.775,-0.309,0.751,0.283
0.622,-0.039,0.452,0.86,-0.528,0.871,0.54,0.16,0.021,0.989,-0.945,0.614,-0.25,-0.652,-0.671
-0.329,-0.108,0.822,-0.741,-0.132,-0.071,0.258,-0.52,0.581,0.814,0.272,0.427,-0.732,-0.133,0.063
-0.53,0.536,0.858,-0.008,0.144,-0.483,0.742,0.867,-0.094,0.792,0.17,-0.031,-0.858,-0.987,-0.542
-0.102,-0.944,0.703,-0.325,0.279,-0.492,0.117,0.137,0.558,-0.171,-0.6,0.897,-0.006,-0.227,0.393
-0.544,-0.841,-0.587,-0.396,0.337,0.901,-0.272,-0.4,-0.329,-0.392,0.347,0.245,-0.713,0.886,0.35
-0.007,-0.479,-0.048,0.885,0.18,-0.049,-0.241,-0.979,-0.945,-0.967,0.451,0.349,0.776,0.923,0.922
-0.6,-0.873,0.414,-0.034,-0.688,-0.098,0.606,-0.733,-0.358,-0.707,0.849,0.892,0.761,0.032,-0.181
-0.424,-0.544,0.628,0.934,0.23,-0.877,0.109,0.683,-0.773,-0.562,0.918,-0.792,0.93,-0.4,-0.115
-0.543,0.967,0.417,0.357,0.534,0.208,-0.595,-0.243,0.936,-0.119,-0.076,0.091,-0.192,0.752,0.332
p_4
-0.169,0.418,-0.187,0.611,-0.176,-0.836,-0.072,-0.898,0.98,0.495,-0.796,0.814,0.789,-0.248,-0.691
0.736,-0.502,-0.77,0.247,0.131,-0.158,0.982,-0.862,0.138,-0.264,-0.28,0.525,0.762,-0.458,-0.47
0.165,-0.853,0.616,0.167,-0.177,0.782,-0.569,-0.289,-0.186,-0.292,0.787,0.939,-0.361,-0.195,0.304
-0.049,0.373,-0.507,-0.055,-0.863,0.228,0.671,-0.602,0.889,0.305,0.547,0.326,0.674,0.023,0.668
-0.577,-0.73,-0.032,-0.38,0.771,0.236,0.433,0.185,0.547,-0.439,-0.787,0.932,-0.615,0.282,0.437
-0.464,0.058,0.874,0.976,0.388,0.128,0.08,-0.386,0.027,0.704,0.928,0.354,-0.493,-0.005,-0.488
0.677,-0.106,0.466,-0.105,-0.228,0.306,0.589,-0.98,-0.381,-0.443,-0.561,-0.525,0.961,0.379,-0.368
-0.726,0.151,-0.118,-0.899,0.985,0.135,0.811,-0.233,0.374,0.032,0.82,0.262,0.182,-0.45,-0.29
0.696,-0.349,-0.462,0.41,0.231,-0.146,-0.454,0.356,-0.24,0.227,0.193,0.882,0.968,0.125,0.629
0.52,-0.702,-0.54,0.93,-0.167,-0.654,0.183,-0.747,-0.616,-0.896,0.988,0.847,0.652,-0.601,0.029
0.584,0.085,0.98,0.436,-0.536,0.852,0.874,-0.886,-0.304,-0.423,-0.998,0.46,-0.917,-0.916,0.094
-0.28,0.31,0.587,-0.533,0.39,0.871,-0.199,0.175,0.025,0.534,0.547,-0.752,-0.671,0.407,-0.445
-0.273,-0.158,-0.208,-0.502,0.848,-0.747,-0.009,0.362,0.141,0.216,-0.654,0.54,0.591,0.417,0.997
-0.33,0.996,0.587,-0.828,0.322,0.881,0.022,-0.282,0.604,0.414,0.417,0.626,-0.502,-0.172,0.513
0.38,0.975,0.168,0.067,-0.695,0.677,0.754,0.998,0.978,0.443,0.457,-0.211,0.994,-0.934,0.62
p_5
-0.79,-0.02,-0.123,-0.781,-0.716,0.364,0.266,-0.626,-0.069,0.396,0.963,0.829,-0.415,0.873,-0.66
-0.65,-0.516,-0.945,-0.917,-0.788,-0.153,-0.636,0.658,0.713,0.134,-0.287,-0.146,0.604,-0.513,-0.374
0.05,0.593,-0.242,-0.594,0.05,-0.858,0.886,0.344,0.704,-0.242,0.166,0.597,0.609,0.308,-0.366
0.415,0.13,0.874,-0.206,-0.383,-0.892,-0.315,-0.884,0.137,0.326,0.64,-0.96,-0.209,0.961,-0.027
-0.541,-0.051,0.518,0.239,-0.83,0.184,0.604,-0.535,-0.912,-0.71,0.817,-0.673,0.841,-1.0,-0.47
