p_1
-0.654,0.727,0.587,0.87,-0.369,-0.018,-0.468,-0.561,-0.556,-0.294
-0.637,0.149,-0.967,0.444,0.32,-0.872,-0.926,-0.724,0.238,0.942
-0.688,-0.637,-0.853,0.716,-0.615,-0.313,-0.401,-0.649,-0.124,0.2
0.703,0.137,-0.505,-0.255,-0.649,0.137,0.071,-0.327,0.554,0.586
-0.075,0.311,-0.858,0.2,-0.803,-0.55,0.797,-0.59,-0.582,-0.722
-0.86,0.825,0.405,-0.934,-0.84,0.942,0.221,-0.32,-0.235,0.444
-0.482,0.74,0.862,-0.995,0.867,0.792,0.733,-0.529,0.49,-0.354
-0.881,0.772,0.834,0.873,-0.143,-0.519,-0.263,-0.388,-0.349,-0.167
0.162,0.494,0.534,0.852,-0.951,0.863,0.89,0.335,-0.183,0.459
-0.572,0.623,0.532,0.028,0.625,0.897,-0.421,0.183,-0.184,0.302
p_2
0.61,0.839,-0.743,0.399,-0.962,0.726,-0.603,0.837,0.785,-0.691
0.87,0.722,0.575,0.803,0.787,-0.71,0.292,0.673,0.064,-0.234
-0.079,0.772,-0.959,-0.187,-0.469,0.532,-0.218,-0.783,0.198,0.403
0.004,0.321,-0.057,-0.277,-0.534,-0.29,-0.138,0.408,-0.064,0.225
-0.739,0.353,0.391,-0.372,-0.458,0.403,-0.769,-0.695,-0.611,0.336
-0.331,-0.211,0.349,-0.721,-0.14,0.408,-0.96,0.477,0.372,0.944
-0.895,-0.766,0.625,0.632,0.366,-0.487,0.39,-0.342,0.691,0.037
0.201,0.479,-0.935,-0.562,0.003,0.047,0.076,0.168,0.37,-0.512
0.391,-0.211,0.058,0.244,-0.374,0.989,-0.3,0.342,-0.139,-0.692
-0.303,-0.443,-0.963,0.78,-0.416,-0.419,-0.466,0.016,0.93,0.14
p_3
0.966,-0.424,-0.439,-0.143,-0.059,-0.729,-0.256,0.808,-0.321,0.254
-0.261,0.996,-0.959,0.105,0.051,0.673,-0.362,0.301,-0.634,0.746
0.556,-0.293,-0.14,-0.88,-0.918,-0.56,0.671,0.663,0.927,-0.395
-0.385,0.609,-0.456,0.567,-0.913,0.804,0.7,0.47,0.972,0.961
-0.334,0.318,-0.988,0.274,-0.318,-0.822,-0.822,-0.956,0.818,0.5
0.182,-0.099,0.639,0.152,-0.784,0.211,0.403,-0.213,0.978,0.482
-0.827,0.471,-0.293,-0.739,0.605,-0.068,0.038,-0.363,-0.02,0.779
0.163,-0.933,-0.914,0.244,-0.001,0.422,0.551,0.576,-0.258,0.861
0.77,0.122,0.747,0.098,-0.834,-0.152,0.427,0.381,0.283,0.626
-0.466,-0.79,0.429,-0.456,-0.637,0.606,-0.863,-0.305,0.263,0.222
p_4
-0.017,-0.687,0.62,0.373,-0.422,-0.011,0.027,0.278,-0.759,0.762
-0.857,-0.36,0.11,0.175,-0.345,0.056,0.651,-0.843,0.844,-0.311
-0.627,0.32,0.739,0.677,0.981,0.382,-0.0,-0.003,0.134,0.695
-0.668,0.26,-0.242,0.128,0.906,0.583,-0.516,0.382,-0.399,0.536
-0.184,0.207,0.89,-0.067,0.442,-0.31,0.944,0.53,-0.839,0.56
0.159,-0.158,-0.676,0.547,0.816,-0.868,-0.412,0.055,0.199,0.654
-0.691,0.368,-0.747,0.955,0.965,-0.936,-0.716,0.21,-0.637,0.399
0.309,0.247,0.719,0.685,0.475,0.262,0.352,0.25,-0.756,0.744
0.632,-0.415,0.171,0.72,-0.445,0.62,0.414,0.353,-0.961,0.118
-0.262,-0.254,0.9,0.432,0.612,-0.015,0.64,0.168,-0.914,0.601
p_5
-0.021,-0.732,0.306,0.268,-0.241,-0.252,0.092,-0.072,-0.047,-0.066
-0.782,-0.971,0.481,0.568,0.973,0.574,0.741,-0.725,0.885,-0.29
0.341,0.337,0.083,-0.078,-0.748,0.327,-0.207,0.374,-0.697,-0.002
0.636,0.16,0.475,-0.902,-0.516,-0.31,-0.094,-0.656,-0.363,0.058
0.261,-0.785,0.818,-0.104,0.482,-0.126,-0.018,-0.634,0.329,-0.601
-0.57,0.098,0.715,0.663,0.754,-0.02,0.719,0.397,-0.509,-0.463
0.913,-0.302,-0.546,0.243,-0.676,0.791,0.303,-0.651,-0.308,0.072
0.837,-0.436,0.566,0.704,-0.399,0.283,0.346,-0.174,-0.502,0.463
-0.401,0.191,0.695,-0.28,0.44,-0.3,0.981,0.441,0.17,-0.796
0.104,-0.118,0.271,0.481,0.025,0.13,0.094,0.547,0.321,0.689
p_6
-0.391,0.46,-0.425,-0.024,0.355,-0.872,0.371,-0.502,0.971,-0.102
-0.276,0.513,-0.942,-0.055,0.049,-0.076,-0.372,-0.139,-0.663,-0.538
0.597,0.147,-0.965,-0.996,-0.381,0.326,-0.709,0.902,0.596,-0.972
0.562,-0.801,0.269,0.937,-0.475,0.877,-0.764,-0.55,-0.07,0.386
-0.188,-0.165,-0.883,0.203,-0.475,0.741,-0.203,0.66,0.858,0.314
-0.23,0.815,-0.67,0.503,-0.474,0.437,-0.975,-0.761,-0.774,0.593
0.587,0.42,-0.753,-0.891,0.537,0.705,-0.622,0.982,-0.678,-0.295
-0.457,0.603,0.102,-0.539,0.778,-0.778,-0.839,-0.76,-0.991,0.454
-0.167,0.707,0.24,-0.045,-0.724,-0.211,-0.533,0.158,-0.807,-0.881
0.963,0.293,0.549,-0.158,0.165,0.902,0.368,0.607,-0.387,-0.865
p_7
-0.275,0.402,0.941,0.097,-0.88,0.481,0.533,0.483,0.932,-0.855
-0.838,-0.553,0.165,0.197,0.101,0.701,0.91,-0.454,-0.165,-0.077
